Name,Category,Effect,Materials,Typical Users,Farming Notes
Flask of Relentless Assault,Flask,"+120 Attack Power (2hr, persists through death)","7x Terocone, 3x Mana Thistle, 1x Fel Lotus, 1x Imbued Vial","Melee DPS (Rogues, Warriors, Enh Shamans, Ret Paladins), Hunters",Terocone: Herb in Terokkar Forest. Mana Thistle: Rare high-level herb found in all Outland zones on cliff edges and elevated areas. Fel Lotus: Very rare random drop from ANY Outland herb node - sell these at a premium.
Flask of Pure Death,Flask,"+80 Shadow/Fire/Frost Spell Damage (2hr, persists through death)","7x Nightmare Vine, 3x Mana Thistle, 1x Fel Lotus, 1x Imbued Vial","Warlocks, Shadow Priests, Fire/Frost Mages",Nightmare Vine: Herb in Shadowmoon Valley and Netherstorm (high-level zones). Mana Thistle: Rare herb on cliff edges in all Outland zones. Fel Lotus: Very rare from any Outland herb node.
Flask of Blinding Light,Flask,"+80 Arcane/Holy/Nature Spell Damage (2hr, persists through death)","7x Netherbloom, 3x Mana Thistle, 1x Fel Lotus, 1x Imbued Vial","Balance Druids, Holy Paladins, Elemental Shamans, Arcane Mages",Netherbloom: Herb found in Netherstorm. Mana Thistle: Rare herb on cliff edges in all Outland zones. Fel Lotus: Very rare from any Outland herb node.
Flask of Mighty Restoration,Flask,"+25 MP5 (2hr, persists through death)","7x Dreaming Glory, 3x Mana Thistle, 1x Fel Lotus, 1x Imbued Vial","Healers (Resto Shamans, Holy Priests, Resto Druids, Holy Paladins)",Dreaming Glory: Common herb in all Outland zones especially Nagrand and Terokkar Forest. Mana Thistle: Rare herb on cliff edges. Fel Lotus: Very rare from any Outland herb node.
Flask of Fortification,Flask,"+500 HP and +10 Defense Rating (2hr, persists through death)","7x Ancient Lichen, 3x Mana Thistle, 1x Fel Lotus, 1x Imbued Vial","Tanks (Prot Warriors, Prot Paladins, Feral Druids)","Ancient Lichen: Found INSIDE Outland dungeons only (Underbog, Slave Pens, Mana-Tombs, Auchenai Crypts, etc). Mana Thistle: Rare herb on cliff edges. Fel Lotus: Very rare from any Outland herb node."
Flask of Chromatic Wonder,Flask,"+35 All Resistances and +18 All Stats (2hr, persists through death)","7x Dreaming Glory, 3x Netherbloom, 1x Fel Lotus, 1x Imbued Vial",Versatile/budget option for any role; tanks on resistance fights,Dreaming Glory: Common herb in all Outland zones. Netherbloom: Herb in Netherstorm. Fel Lotus: Very rare from any Outland herb node.
Elixir of Major Agility,Battle Elixir,+35 Agility and +20 Crit Rating (1hr),"2x Felweed, 1x Terocone, 1x Crystal Vial","Rogues, Hunters, Feral Druids, Enh Shamans",Felweed: Very common herb in Hellfire Peninsula and Zangarmarsh. Terocone: Herb in Terokkar Forest.
Elixir of Major Strength,Battle Elixir,+35 Strength (1hr),"1x Mountain Silversage, 1x Felweed, 1x Crystal Vial","Warriors, Ret Paladins, Enh Shamans","Mountain Silversage: Classic herb from Winterspring, Eastern Plaguelands, Burning Steppes, Un'Goro Crater. Felweed: Very common in Hellfire Peninsula and Zangarmarsh."
Elixir of Mastery,Battle Elixir,+15 All Stats (1hr),"2x Terocone, 1x Felweed, 1x Crystal Vial","Feral Druid tanks, versatile/budget option for any class",Terocone: Herb in Terokkar Forest. Felweed: Very common in Hellfire Peninsula and Zangarmarsh.
Elixir of Major Shadow Power,Battle Elixir,+55 Shadow Spell Damage (1hr),"1x Nightmare Vine, 1x Ancient Lichen, 1x Crystal Vial","Warlocks, Shadow Priests",Nightmare Vine: Herb in Shadowmoon Valley and Netherstorm. Ancient Lichen: Found inside Outland dungeons only.
Elixir of Major Firepower,Battle Elixir,+55 Fire Spell Damage (1hr),"2x Mote of Fire, 1x Ancient Lichen, 1x Crystal Vial","Fire Mages, Destruction Warlocks","Mote of Fire: Drops from fire elementals in Hellfire Peninsula (Hand of Gul'dan area), Nagrand, Shadowmoon Valley. 10 Motes = 1 Primal Fire. Ancient Lichen: Inside Outland dungeons."
Elixir of Major Frost Power,Battle Elixir,+55 Frost Spell Damage (1hr),"2x Mote of Water, 1x Ancient Lichen, 1x Crystal Vial",Frost Mages,"Mote of Water: Drops from water elementals in Nagrand (Skysong Lake, Halaa area), Zangarmarsh. 10 Motes = 1 Primal Water. Ancient Lichen: Inside Outland dungeons."
Elixir of Healing Power,Battle Elixir,+50 Healing (1hr),"1x Golden Sansam, 1x Dreaming Glory, 1x Crystal Vial",Healers (all specs),"Golden Sansam: Classic herb from Felwood, Un'Goro Crater, Azshara, Eastern Plaguelands. Dreaming Glory: Common herb in all Outland zones."
Adept's Elixir,Battle Elixir,+24 Spell Damage/Healing and +24 Spell Crit (1hr),"1x Dreamfoil, 1x Felweed, 1x Crystal Vial",Budget caster DPS and healers wanting damage + crit mix,"Dreamfoil: Classic herb from Un'Goro Crater, Azshara, Silithus, Eastern Plaguelands. Felweed: Very common in Hellfire Peninsula and Zangarmarsh."
Onslaught Elixir,Battle Elixir,+60 Attack Power (1hr),"1x Mountain Silversage, 1x Felweed, 1x Crystal Vial",Budget physical DPS option,"Mountain Silversage: Classic herb from Winterspring, Eastern Plaguelands, Burning Steppes. Felweed: Very common in Hellfire Peninsula."
Fel Strength Elixir,Battle Elixir,+90 Attack Power / -10 Stamina (1hr),"1x Terocone, 2x Nightmare Vine, 1x Crystal Vial",Melee DPS willing to sacrifice stamina for AP,Terocone: Herb in Terokkar Forest. Nightmare Vine: Herb in Shadowmoon Valley and Netherstorm.
Elixir of Demonslaying,Battle Elixir,+265 AP vs Demons (5 min),"1x Gromsblood, 1x Ghost Mushroom, 1x Crystal Vial","Melee DPS and Hunters in demon-heavy raids (Hyjal, BT, Sunwell)","Gromsblood: Classic herb from Desolace, Felwood, Blasted Lands. Ghost Mushroom: Classic herb found in caves - Maraudon, Hinterlands caves, Un'Goro caves, Dire Maul."
Elixir of Major Defense,Guardian Elixir,+550 Armor (1hr),"3x Ancient Lichen, 1x Terocone, 1x Crystal Vial","Tanks (Prot Warriors, Prot Paladins, Feral Druids)",Ancient Lichen: Found inside Outland dungeons only (herb while running dungeons). Terocone: Herb in Terokkar Forest.
Elixir of Major Fortitude,Guardian Elixir,+250 HP and +10 HP5 (1hr),"2x Ragveil, 1x Felweed, 1x Crystal Vial","Tanks, anyone wanting extra survivability",Ragveil: Herb in Zangarmarsh (swampy/mushroom areas). Felweed: Very common in Hellfire Peninsula and Zangarmarsh.
Elixir of Draenic Wisdom,Guardian Elixir,+30 Intellect and +30 Spirit (1hr),"1x Felweed, 1x Terocone, 1x Crystal Vial","Healers (especially Holy Priests, Resto Druids), caster DPS wanting mana pool",Felweed: Very common in Hellfire Peninsula and Zangarmarsh. Terocone: Herb in Terokkar Forest.
Elixir of Major Mageblood,Guardian Elixir,+16 MP5 (1hr),"1x Ancient Lichen, 1x Netherbloom, 1x Crystal Vial","Healers, mana-hungry caster DPS",Ancient Lichen: Found inside Outland dungeons only. Netherbloom: Herb in Netherstorm.
Elixir of Ironskin,Guardian Elixir,+30 Resilience Rating (1hr),"1x Ancient Lichen, 1x Ragveil, 1x Crystal Vial",Primarily PvP; niche tank use for crit reduction,Ancient Lichen: Inside Outland dungeons. Ragveil: Herb in Zangarmarsh.
Elixir of Empowerment,Guardian Elixir,Reduces target's magic resistance by 30 (1hr),"1x Netherbloom, 1x Mana Thistle, 1x Crystal Vial",Caster DPS groups (benefits all spell damage dealers),Netherbloom: Herb in Netherstorm. Mana Thistle: Rare herb on cliff edges in all Outland zones.
Earthen Elixir,Guardian Elixir,-20 All Damage Taken (1hr),"1x Dreaming Glory, 2x Ragveil, 1x Crystal Vial","Tanks, situational survivability",Dreaming Glory: Common herb in all Outland zones. Ragveil: Herb in Zangarmarsh.
Super Mana Potion,Potion,Restores 1800-3000 Mana instantly,"2x Dreaming Glory, 1x Felweed, 1x Crystal Vial",All mana users - most consumed potion in TBC raiding,Dreaming Glory: Common herb in all Outland zones especially Nagrand. Felweed: Very common in Hellfire Peninsula and Zangarmarsh.
Super Healing Potion,Potion,Restores 1500-2500 HP instantly,"2x Netherbloom, 1x Felweed, 1x Crystal Vial",Tanks and anyone in danger of dying,Netherbloom: Herb in Netherstorm. Felweed: Very common in Hellfire Peninsula and Zangarmarsh.
Destruction Potion,Potion,+120 Spell Damage and +2% Spell Crit for 15 sec,"2x Nightmare Vine, 1x Netherbloom, 1x Crystal Vial",Caster DPS (top pre-pot for casters),Nightmare Vine: Herb in Shadowmoon Valley and Netherstorm. Netherbloom: Herb in Netherstorm.
Haste Potion,Potion,+400 Haste Rating for 15 sec,"2x Terocone, 1x Netherbloom, 1x Crystal Vial",Melee/ranged physical DPS (top pre-pot for physical DPS),Terocone: Herb in Terokkar Forest. Netherbloom: Herb in Netherstorm.
Ironshield Potion,Potion,+2500 Armor for 2 min,"2x Ancient Lichen, 3x Mote of Earth, 1x Crystal Vial",Tanks on heavy physical damage bosses,"Ancient Lichen: Inside Outland dungeons. Mote of Earth: Drops from earth elementals in Nagrand (Warmaul Hill), Shadowmoon Valley, Netherstorm. Also from mining Outland ore."
Super Rejuvenation Potion,Potion,Restores 1650-2750 Mana AND HP,"2x Mana Thistle, 1x Dreaming Glory, 1x Netherbloom, 1x Crystal Vial","Hybrid classes (Paladins, Druids, Shamans)",Mana Thistle: Rare herb on cliff edges in all Outland zones. Dreaming Glory: Common in all Outland zones. Netherbloom: Herb in Netherstorm.
Fel Mana Potion,Potion,Restores 3200 Mana over 24 sec (debuff: -25 Spell Dmg / -50 Healing for 15 min),"2x Nightmare Vine, 1x Mana Thistle, 1x Crystal Vial",Hunters primarily (debuff irrelevant to them),Nightmare Vine: Herb in Shadowmoon Valley and Netherstorm. Mana Thistle: Rare herb on cliff edges.
Heroic Potion,Potion,+70 Strength and +700 HP for 15 sec,"2x Terocone, 1x Ancient Lichen, 1x Crystal Vial",Tanks (situational pre-pot),Terocone: Herb in Terokkar Forest. Ancient Lichen: Inside Outland dungeons.
Insane Strength Potion,Potion,+120 Strength / -75 Defense for 15 sec,"3x Terocone, 1x Crystal Vial",Melee DPS (risky but powerful pre-pot),Terocone: Herb in Terokkar Forest.
Free Action Potion,Potion,Immune to Stun/Movement Impairing for 30 sec,"2x Blackmouth Oil, 1x Stranglekelp, 1x Leaded Vial",Tanks on specific boss encounters with stun/root mechanics,"Blackmouth Oil: Crafted from Oily Blackmouth (fished in Classic coastal zones - Darkshore, Westfall, Stranglethorn). Stranglekelp: Classic underwater herb in coastal zones."
Blackened Basilisk,Food,+23 Spell Damage and +20 Spirit (30 min),1x Chunk o' Basilisk,"Caster DPS (Mages, Warlocks, Shadow Priests, Boomkins, Ele Shamans)","Chunk o' Basilisk: Kill basilisks in Terokkar Forest (Tuurem area, around Auchindoun). ~35% drop rate."
Crunchy Serpent,Food,+23 Spell Damage and +20 Spirit (30 min),1x Serpent Flesh,Caster DPS (identical buff to Blackened Basilisk; alternate source),Serpent Flesh: Kill serpents in Blade's Edge Mountains. ~40% drop rate.
Grilled Mudfish,Food,+20 Agility and +20 Spirit (30 min),1x Figluster's Mudfish,"Agi-based melee/ranged DPS (Rogues, Hunters, Feral Druids, Enh Shamans)",Figluster's Mudfish: Fished in Nagrand (inland lakes and rivers). Requires ~305 fishing skill.
Warp Burger,Food,+20 Agility and +20 Spirit (30 min),1x Warped Flesh,Agi-based melee/ranged DPS (identical buff to Grilled Mudfish; alternate source),Warped Flesh: Kill Warp Stalkers in Terokkar Forest. ~40% drop rate.
Roasted Clefthoof,Food,+20 Strength and +20 Spirit (30 min),1x Clefthoof Meat,"Strength-based melee DPS and tanks (Warriors, Paladins, Enh Shamans)",Clefthoof Meat: Kill Clefthoofs in Nagrand. Very common drop (~50%). Also yields Thick Clefthoof Leather if skinned.
Ravager Dog,Food,+40 Attack Power and +20 Spirit (30 min),1x Ravager Flesh,Physical DPS who prefer flat AP over Agi/Str,Ravager Flesh: Kill Ravagers in Hellfire Peninsula. ~50% drop rate. Very easy to mass farm early.
Spicy Crawdad,Food,+30 Stamina and +20 Spirit (30 min),1x Furious Crawdad,"Tanks (Prot Warriors, Prot Paladins, Feral Druids)","Furious Crawdad: Fished from Highland Mixed School pools in elevated Terokkar lakes (Blackwind Lake, Lake Ere'Noru, Lake Jorune). Requires ~350+ fishing. Very profitable."
Fisherman's Feast,Food,+30 Stamina and +20 Spirit (30 min),"1x Huge Spotted Feltail, 1x Goldenbark Apple, 1x Soothing Spices",Tanks (identical buff to Spicy Crawdad; alternate recipe),Huge Spotted Feltail: Fished in any Outland water (Zangarmarsh best). Goldenbark Apple: Vendor purchased. Soothing Spices: Vendor purchased from cooking supply vendors.
Golden Fish Sticks,Food,+44 Healing and +20 Spirit (30 min),1x Golden Darter,Healers (all specs),Golden Darter: Fished in Terokkar Forest rivers and lakes. ~20% catch rate. Requires ~305 fishing.
Spicy Hot Talbuk,Food,+20 Hit Rating and +20 Spirit (30 min),1x Talbuk Venison,DPS classes needing hit rating,Talbuk Venison: Kill Talbuks in Nagrand. Common drop. Recipe from Nagrand faction vendors.
Skullfish Soup,Food,+20 Spell Crit Rating and +20 Spirit (30 min),1x Crescent-Tail Skullfish,Caster DPS wanting spell crit over raw spell damage,Crescent-Tail Skullfish: Fished in Terokkar Forest (rare catch). Requires ~350+ fishing skill. Recipe from Fishing daily quest.
Broiled Bloodfin,Food,+8 MP5 (30 min),1x Bloodfin Catfish,Healers and mana-dependent casters preferring MP5,Bloodfin Catfish: Fished in Outland waters. Recipe from Fishing daily quest reward.
Superior Wizard Oil,Weapon Oil,+42 Spell Damage (1hr; 5 charges),"3x Arcane Dust, 1x Nightmare Vine, 1x Imbued Vial",Caster DPS (standard TBC caster weapon buff),Arcane Dust: Disenchant Outland green items (abundant from dungeons/questing). Nightmare Vine: Herb in Shadowmoon Valley and Netherstorm.
Superior Mana Oil,Weapon Oil,+14 MP5 (1hr; 5 charges),"3x Arcane Dust, 1x Netherbloom, 1x Imbued Vial",Healers (standard TBC healer weapon buff),Arcane Dust: Disenchant Outland green items. Netherbloom: Herb in Netherstorm.
Brilliant Wizard Oil,Weapon Oil,+36 Spell Damage and +14 Spell Crit (1hr; 5 charges),"2x Large Brilliant Shard, 3x Firebloom, 1x Imbued Vial",Caster DPS wanting crit component (Classic-era recipe still used),"Large Brilliant Shard: Disenchant Classic epic items or high-level rares. Firebloom: Classic herb from Searing Gorge, Blasted Lands, Tanaris."
Brilliant Mana Oil,Weapon Oil,+12 MP5 and +25 Healing (1hr; 5 charges),"2x Large Brilliant Shard, 3x Purple Lotus, 1x Imbued Vial",Healers (Classic-era alternative to Superior Mana Oil),"Large Brilliant Shard: Disenchant Classic epic or high-level rare items. Purple Lotus: Classic herb from Felwood, Azshara, Hinterlands."
Adamantite Sharpening Stone,Weapon Stone,+12 Weapon Damage and +14 Crit Rating (1hr),"1x Adamantite Bar, 2x Mote of Earth",Melee DPS with sharp weapons (swords/axes/daggers); cannot coexist with poisons or weapon imbues,"Adamantite Bar: Smelt from Adamantite Ore mined in Nagrand, Netherstorm, Shadowmoon Valley, Blade's Edge. Mote of Earth: Earth elementals in Nagrand, also from mining."
Adamantite Weightstone,Weapon Stone,+12 Weapon Damage and +14 Crit Rating (1hr),"1x Adamantite Bar, 2x Netherweave Cloth",Melee DPS with blunt weapons (maces/fist weapons); cannot coexist with weapon imbues,"Adamantite Bar: Smelt from Adamantite Ore (Nagrand, Netherstorm, Shadowmoon, Blade's Edge). Netherweave Cloth: Drops from Outland humanoid mobs (very common)."
Drums of Battle,Drums (LW),+80 Haste Rating to party for 30 sec (2 min CD; 50 charges),"6x Heavy Knothide Leather, 4x Thick Clefthoof Leather",All raid groups - drum rotations are huge DPS/HPS gains,Heavy Knothide Leather: Craft from 5x Knothide Leather (skinning Outland mobs). Thick Clefthoof Leather: Skinning Clefthoofs in Nagrand specifically. Very profitable to farm.
Drums of War,Drums (LW),+60 AP and +30 Spell Damage to party for 30 sec (2 min CD; 50 charges),"3x Heavy Knothide Leather, 3x Fel Scales",Lesser alternative to Drums of Battle,"Heavy Knothide Leather: Craft from 5x Knothide Leather. Fel Scales: Skinning reptile/dragonkin mobs in Blade's Edge Mountains, Shadowmoon Valley."
Heavy Knothide Armor Kit,Armor Kit (LW),+10 Stamina permanently to head/chest/shoulders/legs/hands/feet,3x Heavy Knothide Leather,Tanks primarily; any raider wanting extra survivability,Heavy Knothide Leather: Craft from 5x Knothide Leather (skinning any level 60-70 Outland beast mobs).
Flame Cap,Misc Consumable,"+80 Fire Spell Damage for 1 min; melee/ranged gain fire proc (3 min CD; own cooldown, NOT potion CD)",1x Flame Cap (gathered),"Fire Mages, Destro Warlocks, physical DPS (fire proc)","Flame Cap: Gathered via Herbalism from Flame Cap nodes in Zangarmarsh (Spawning Glen area, near Coilfang Reservoir). Limited spawn points - great to farm at off-peak hours."
Dark Rune,Misc Consumable,Restores 900-1500 mana; costs 600-1000 HP (2 min CD; independent of potion CD),N/A - World Drop,All mana users especially healers (second mana CD independent of potions),"Drops from mobs in Scholomance (Necromancers, Dark Summoners). Tradeable on AH. Farm Scholomance for these."
Demonic Rune,Misc Consumable,Restores 900-1500 mana; costs 600-1000 HP (2 min CD; shares CD with Dark Rune),N/A - World Drop (BoP),Same as Dark Rune (BoP so raiders must self-farm),"Drops from demonic mobs in Felwood (Jadefire satyrs), Azshara (Legashi demons), Winterspring (Hederine demons). ~3-4% drop rate. Bind on Pickup."
Cauldron of Major Fire Protection,Cauldron (Alchemy),Produces up to 25x Major Fire Protection Potions (absorb 2800-4000 fire damage),"2x Primal Fire, 7x Mana Thistle, 1x Fel Iron Casing",Entire raids on fire-heavy encounters,Primal Fire: 10x Mote of Fire from fire elementals. Mana Thistle: Rare herb on cliff edges. Fel Iron Casing: Blacksmith-crafted from Fel Iron Bars.
Cauldron of Major Shadow Protection,Cauldron (Alchemy),Produces up to 25x Major Shadow Protection Potions (absorb 2800-4000 shadow damage),"2x Primal Shadow, 7x Mana Thistle, 1x Fel Iron Casing",Entire raids on shadow-heavy encounters,"Primal Shadow: 10x Mote of Shadow from Void/Shadow creatures in Nagrand (Oshu'gun), Hellfire Peninsula. Mana Thistle: Rare herb. Fel Iron Casing: BS crafted."
Cauldron of Major Nature Protection,Cauldron (Alchemy),Produces up to 25x Major Nature Protection Potions (absorb 2800-4000 nature damage),"2x Primal Life, 7x Mana Thistle, 1x Fel Iron Casing","Entire raids on nature-heavy encounters (Hydross, etc)","Primal Life: 10x Mote of Life from plant/treant mobs in Zangarmarsh, Netherstorm. Mana Thistle: Rare herb. Fel Iron Casing: BS crafted."
Cauldron of Major Frost Protection,Cauldron (Alchemy),Produces up to 25x Major Frost Protection Potions (absorb 2800-4000 frost damage),"2x Primal Water, 7x Mana Thistle, 1x Fel Iron Casing",Entire raids on frost-heavy encounters (Hydross ice phase),"Primal Water: 10x Mote of Water from water elementals in Nagrand, Zangarmarsh. Mana Thistle: Rare herb. Fel Iron Casing: BS crafted."
Cauldron of Major Arcane Protection,Cauldron (Alchemy),Produces up to 25x Major Arcane Protection Potions (absorb 2800-4000 arcane damage),"2x Primal Mana, 7x Mana Thistle, 1x Fel Iron Casing",Entire raids on arcane-heavy encounters,Primal Mana: 10x Mote of Mana from mana creatures in Netherstorm. Mana Thistle: Rare herb. Fel Iron Casing: BS crafted.
Scroll of Agility V,Scroll,+20 Agility (30 min),N/A - Inscription/World Drop,Any agility user lacking a better buff,World drop from Outland mobs. Also crafted via Inscription in later patches. Sell on AH.
Scroll of Strength V,Scroll,+20 Strength (30 min),N/A - Inscription/World Drop,Any strength user lacking a better buff,World drop from Outland mobs. Sell on AH.
Scroll of Intellect V,Scroll,+20 Intellect (30 min),N/A - Inscription/World Drop,Casters/healers lacking Arcane Intellect,World drop from Outland mobs. Sell on AH.
Scroll of Stamina V,Scroll,+20 Stamina (30 min),N/A - Inscription/World Drop,Tanks/anyone lacking PW:Fortitude,World drop from Outland mobs. Sell on AH.
Scroll of Spirit V,Scroll,+30 Spirit (30 min),N/A - Inscription/World Drop,Healers lacking Divine Spirit,World drop from Outland mobs. Sell on AH.
Scroll of Protection V,Scroll,+300 Armor (30 min),N/A - Inscription/World Drop,Tanks lacking other armor buffs,World drop from Outland mobs. Sell on AH.
